movie_name,movie_date,movie_rating,movie_genre,movie_censor
The Crow,1970,7.5,Action,A
Total Recall,1970,7.5,Action,A
The Hunt for Red October,1970,7.5,Action,U
Batman,1970,7.5,Action,U
Midnight Run,1970,7.5,Action,A
Ging chaat goo si,1970,7.5,Action,UA
Indiana Jones and the Temple of Doom,1970,7.5,Action,(Banned)
The Warriors,1970,7.5,Action,UA
Tora! Tora! Tora!,1970,7.5,Action,Not Rated
It's a Mad Mad Mad Mad World,1970,7.5,Action,Not Rated
The Guns of Navarone,1970,7.5,Action,U
Shang-Chi and the Legend of the Ten Rings,1970,7.4,Action,UA
Nobody,1970,7.4,Action,A
Spider-Man: Far from Home,1970,7.4,Action,U
John Wick: Chapter 3 - Parabellum,1970,7.4,Action,A
John Wick: Chapter 2,1970,7.4,Action,A
The Last Duel,1970,7.4,Action,A
War for the Planet of the Apes,1970,7.4,Action,UA
John Wick,1970,7.4,Action,A
Predestination,1970,7.4,Action,18
How to Train Your Dragon: The Hidden World,1970,7.4,Animation,U
Mission: Impossible - Rogue Nation,1970,7.4,Action,UA
Spider-Man: Homecoming,1970,7.4,Action,U
Rurôni Kenshin: Meiji kenkaku roman tan,1970,7.4,Action,Not Rated
Ready Player One,1970,7.4,Action,UA
Sherlock Holmes: A Game of Shadows,1970,7.4,Action,UA
Samâ uôzu,1970,7.4,Animation,U
Looper,1970,7.4,Action,A
Mission: Impossible - Ghost Protocol,1970,7.4,Action,UA
Law Abiding Citizen,1970,7.4,Action,A
Black Dynamite,1970,7.4,Action,R
Wonder Woman,1970,7.4,Action,UA
L'ennemi public n°1,1970,7.4,Action,R
A History of Violence,1970,7.4,Action,UA
Spider-Man 2,1970,7.4,Action,U
Open Range,1970,7.4,Action,U
Master and Commander: The Far Side of the World,1970,7.4,Action,PG-13
X2,1970,7.4,Action,UA
Spider-Man,1970,7.4,Action,U
The Rock,1970,7.4,Action,A
Thief,1970,7.4,Action,Not Rated
Zui quan,1970,7.4,Action,U
Superman,1970,7.4,Action,U
Get Carter,1970,7.4,Action,UA
Bullitt,1970,7.4,Action,A
From Russia with Love,1970,7.4,Action,A
El Camino: A Breaking Bad Movie,1970,7.3,Action,16
DC League of Super-Pets,1970,7.3,Animation,7
Tenet,1970,7.3,Action,UA
Raya and the Last Dragon,1970,7.3,Animation,U
Patriots Day,1970,7.3,Action,A
13 Hours,1970,7.3,Action,A
The Lego Batman Movie,1970,7.3,Animation,U
Okja,1970,7.3,Action,UA
The Nice Guys,1970,7.3,Action,18
Avengers: Age of Ultron,1970,7.3,Action,UA
No Time to Die,1970,7.3,Action,UA
American Sniper,1970,7.3,Action,A
The Accountant,1970,7.3,Action,18
Eye in the Sky,1970,7.3,Action,UA
Black Panther,1970,7.3,Action,UA
Southpaw,1970,7.3,Action,16
Fast Five,1970,7.3,Action,UA
The Next Three Days,1970,7.3,Action,13
Bullet Train,1970,7.3,Action,A
Ghajini,1970,7.3,Action,UA
Master,1970,7.3,Action,UA
Invictus,1970,7.3,Action,UA
Max Manus,1970,7.3,Action,Not Rated
Megamind,1970,7.3,Animation,U
The Adventures of Tintin,1970,7.3,Animation,U
Der Baader Meinhof Komplex,1970,7.3,Action,R
Ant-Man,1970,7.3,Action,UA
Alita: Battle Angel,1970,7.3,Action,UA
Chi bi,1970,7.3,Action,R
Running Scared,1970,7.3,Action,R
Pirates of the Caribbean: Dead Man's Chest,1970,7.3,Action,12+
Layer Cake,1970,7.3,Action,UA
Dawn of the Dead,1970,7.3,Action,A
Siu Lam juk kau,1970,7.3,Action,PG
Equilibrium,1970,7.3,Action,UA
X-Men,1970,7.3,Action,UA
The Negotiator,1970,7.3,Action,R
Enemy of the State,1970,7.3,Action,A
Starship Troopers,1970,7.3,Action,A
Men in Black,1970,7.3,Action,UA
Grosse Pointe Blank,1970,7.3,Action,U
Face/Off,1970,7.3,Action,UA
Crimson Tide,1970,7.3,Action,U
True Lies,1970,7.3,Action,A
Speed,1970,7.3,Action,A
Nikita,1970,7.3,Action,Not Rated
Star Trek IV: The Voyage Home,1970,7.3,Action,U
To Live and Die in L.A.,1970,7.3,Action,Not Rated
The Karate Kid,1970,7.3,Action,U
Beverly Hills Cop,1970,7.3,Action,A
Assault on Precinct 13,1970,7.3,Action,A
The Getaway,1970,7.3,Action,A
Jason and the Argonauts,1970,7.3,Action,U
The Suicide Squad,1970,7.2,Action,A
Anthropoid,1970,7.2,Action,R
The Siege of Jadotville,1970,7.2,Action,Not Rated
Bajirao Mastani,1970,7.2,Action,U
La isla mínima,1970,7.2,Action,Not Rated
'71,1970,7.2,Action,R
Holiday,1970,7.2,Action,UA
Unbroken,1970,7.2,Action,18
The Man from U.N.C.L.E.,1970,7.2,Action,UA
Kon-Tiki,1970,7.2,Action,Not Rated
War Horse,1970,7.2,Action,U
Rise of the Guardians,1970,7.2,Animation,U
The Hunger Games,1970,7.2,Action,UA
Kung Fu Panda 2,1970,7.2,Animation,U
Harry Brown,1970,7.2,Action,R
Old Henry,1970,7.2,Action,Not Rated
21 Jump Street,1970,7.2,Action,UA
VR (Vikrant Rona),1970,7.2,Action,UA 13+
Rango,1970,7.2,Animation,U
Prey,1970,7.2,Action,R
The Witcher: Nightmare of the Wolf,1970,7.2,Animation,18
RocknRolla,1970,7.2,Action,A
Joheunnom nabbeunnom isanghannom,1970,7.2,Action,R
I Am Legend,1970,7.2,Action,A
The Equalizer,1970,7.2,Action,A
Mongol,1970,7.2,Action,R
Friday Night Lights,1970,7.2,Action,UA
Fainaru fantajî sebun adobento chirudoren,1970,7.2,Animation,U
Team America: World Police,1970,7.2,Action,A
The Life Aquatic with Steve Zissou,1970,7.2,Action,R
King Kong,1970,7.2,Action,UA
Kingdom of Heaven,1970,7.2,Action,A
The Matrix Reloaded,1970,7.2,Action,UA
The Patriot,1970,7.2,Action,A
Arlington Road,1970,7.2,Action,R
Ronin,1970,7.2,Action,R
From Dusk Till Dawn,1970,7.2,Action,A
GoldenEye,1970,7.2,Action,UA
Natural Born Killers,1970,7.2,Action,A
In the Line of Fire,1970,7.2,Action,UA
Star Trek VI: The Undiscovered Country,1970,7.2,Action,U
Point Break,1970,7.2,Action,A
Lethal Weapon 2,1970,7.2,Action,A
Willow,1970,7.2,Action,UA
They Live,1970,7.2,Action,A
The Transformers: The Movie,1970,7.2,Animation,U
The Hitcher,1970,7.2,Action,A
Big Trouble in Little China,1970,7.2,Action,UA
Silverado,1970,7.2,Action,UA
Runaway Train,1970,7.2,Action,Not Rated
Magnum Force,1970,7.2,Action,Not Rated
Meng long guo jiang,1970,7.2,Action,U
Jing wu men,1970,7.2,Action,UA
