movie_name,movie_date,movie_rating,movie_genre,movie_censor,budget,revenue
The Third Man,1949-01-01,8.1,Film-Noir,Approved,,
In the Name of the Father,1993-01-01,8.1,Biography,R,,
The Deer Hunter,1978-01-01,8.1,Drama,R,15000000.0,
Barry Lyndon,1975-01-01,8.1,Adventure,PG,11000000.0,
Hacksaw Ridge,2016-01-01,8.1,Biography,R,40000000.0,
The Wages of Fear,1953-01-01,8.2,Adventure,Not Rated,,
Memories of Murder,2003-01-01,8.1,Crime,Not Rated,,
Sherlock Jr.,1924-01-01,8.2,Action,Passed,,
Wild Tales,2014-01-01,8.1,Comedy,R,,
Mr. Smith Goes to Washington,1939-01-01,8.1,Comedy,Passed,,
Mad Max: Fury Road,2015-01-01,8.1,Action,R,,
The Seventh Seal,1957-01-01,8.1,Drama,Not Rated,,
Mary and Max,2009-01-01,8.1,Animation,Not Rated,,
How to Train Your Dragon,2010-01-01,8.1,Animation,PG,165000000.0,
Room,2015-01-01,8.1,Drama,R,,
"Monsters, Inc.",2001-01-01,8.1,Animation,G,,
Jaws,1975-01-01,8.1,Adventure,PG,,
Dead Poets Society,1989-01-01,8.1,Comedy,PG,16400000.0,
The Big Lebowski,1998-01-01,8.1,Comedy,R,15000000.0,
Tokyo Story,1953-01-01,8.2,Drama,Not Rated,,
The Passion of Joan of Arc,1928-01-01,8.2,Biography,Passed,,
Hotel Rwanda,2004-01-01,8.1,Biography,PG-13,17500000.0,
Ford v Ferrari,2019-01-01,8.1,Action,PG-13,97600000.0,
Rocky,1976-01-01,8.1,Drama,PG,1000000.0,
Platoon,1986-01-01,8.1,Drama,R,6000000.0,
Ratatouille,2007-01-01,8.1,Animation,G,150000000.0,
Spotlight,2015-01-01,8.1,Biography,R,,
The Terminator,1984-01-01,8.1,Action,R,,
Logan,2017-01-01,8.1,Action,R,,
Stand by Me,1986-01-01,8.1,Adventure,13+,,
Rush,2013-01-01,8.1,Action,R,923000.0,
Rush,2013-01-01,8.1,Action,R,923000.0,
Network,1976-01-01,8.1,Drama,R,3800000.0,
Into the Wild,2007-01-01,8.1,Adventure,R,,
Before Sunset,2004-01-01,8.1,Drama,R,2700000.0,
The Wizard of Oz,1939-01-01,8.1,Adventure,G,2777000.0,
The Wizard of Oz,1939-01-01,8.1,Adventure,G,2777000.0,
Pather Panchali,1955-01-01,8.3,Drama,Not Rated,150000.0,
Groundhog Day,1993-01-01,8.1,Comedy,PG,14600000.0,
The Best Years of Our Lives,1946-01-01,8.1,Drama,Approved,,
The Exorcist,1973-01-01,8.1,Horror,R,12000000.0,
The Incredibles,2004-01-01,8.0,Animation,PG,92000000.0,
To Be or Not to Be,1942-01-01,8.2,Comedy,Passed,,
To Be or Not to Be,1942-01-01,8.2,Comedy,Passed,,
La haine,1995-01-01,8.1,Crime,Not Rated,,
The Battle of Algiers,1966-01-01,8.1,Drama,Not Rated,806735.0,
The Battle of Algiers,1966-01-01,8.1,Drama,Not Rated,806735.0,
Pirates of the Caribbean: The Curse of the Black Pearl,2003-01-01,8.1,Action,PG-13,140000000.0,
Hachi: A Dog's Tale,2009-01-01,8.1,Biography,G,,
The Grapes of Wrath,1940-01-01,8.1,Drama,Passed,,
Jai Bhim,2021-01-01,8.8,Crime,TV-MA,,
My Father and My Son,2005-01-01,8.2,Drama,Not Rated,,
Amores Perros,2000-01-01,8.1,Drama,R,,
Rebecca,1940-01-01,8.1,Drama,Approved,,
Rebecca,1940-01-01,8.1,Drama,Approved,,
Cool Hand Luke,1967-01-01,8.1,Crime,GP,,
The Handmaiden,2016-01-01,8.1,Drama,Not Rated,,
The 400 Blows,1959-01-01,8.1,Crime,Not Rated,,
The Sound of Music,1965-01-01,8.1,Biography,G,,
It Happened One Night,1934-01-01,8.1,Comedy,Passed,325000.0,
Persona,1966-01-01,8.1,Drama,Not Rated,,
Life of Brian,1979-01-01,8.0,Comedy,R,,
The Iron Giant,1999-01-01,8.1,Animation,PG,70000000.0,
The Help,2011-01-01,8.1,Drama,PG-13,25000000.0,
Dersu Uzala,1975-01-01,8.2,Adventure,G,4000000.0,
Aladdin,1992-01-01,8.0,Animation,G,,
Aladdin,1992-01-01,8.0,Animation,G,,
Gandhi,1982-01-01,8.0,Biography,PG,22000000.0,
Dances with Wolves,1990-01-01,8.0,Adventure,PG-13,22000000.0,
Kantara,2022-01-01,9.3,Action,UA,,
The Empire Strikes Back,1980-01-01,8.7,Action,UA,,
Star Wars,1977-01-01,8.6,Action,U,,
Seppuku,1962-01-01,8.6,Action,Not Rated,,
Shichinin no samurai,1954-01-01,8.6,Action,U,,
Kaithi,2019-01-01,8.5,Action,UA,,
Asuran,2019-01-01,8.5,Action,UA,,
Sita Ramam,2022-01-01,8.5,Action,U,,
Léon,1994-01-01,8.5,Action,A,16000000.0,
Vikram,2022-01-01,8.4,Action,UA,,
K.G.F: Chapter 2,2022-01-01,8.4,Action,UA,,
Shershaah,2021-01-01,8.4,Action,UA,,
Oldeuboi,2003-01-01,8.4,Action,A,,
Mononoke-hime,1997-01-01,8.4,Animation,U,,
Raiders of the Lost Ark,1981-01-01,8.4,Action,A,,
Vikram Vedha,2017-01-01,8.3,Action,UA,,
Major,2022-01-01,8.2,Action,UA,,
Uri: The Surgical Strike,2019-01-01,8.2,Action,UA,,
K.G.F: Chapter 1,2018-01-01,8.2,Action,UA,,
Dag II,2016-01-01,8.2,Action,Not Rated,,
Baahubali 2: The Conclusion,2017-01-01,8.2,Action,UA,,
Gangs of Wasseypur,2012-01-01,8.2,Action,A,,
Paan Singh Tomar,2012-01-01,8.2,Action,UA,,
Kimetsu no Yaiba: Mugen Ressha-Hen,2020-01-01,8.2,Animation,UA,,
Yôjinbô,1961-01-01,8.2,Action,U,,
Everything Everywhere All at Once,2022-01-01,8.1,Action,A,25000000.0,
Bajrangi Bhaijaan,2015-01-01,8.1,Action,UA,,
A Wednesday,2008-01-01,8.1,Action,UA,,
Hera Pheri,2000-01-01,8.1,Action,U,,
Sarfarosh,1999-01-01,8.1,Action,A,,
Sholay,1975-01-01,8.1,Action,U,,
Kakushi-toride no san-akunin,1958-01-01,8.1,Action,Not Rated,,
White Heat,1949-01-01,8.1,Action,Not Rated,,
RRR (Rise Roar Revolt),2022-01-01,8.0,Action,UA,,
Arjun Reddy,2017-01-01,8.0,Action,A,,
Kaththi,2014-01-01,8.0,Action,U,,
Haider,2014-01-01,8.0,Action,UA,,
Bãhubali: The Beginning,2015-01-01,8.0,Action,UA,,
1 - Nenokkadine,2014-01-01,8.0,Action,UA,,
Thuppakki,2012-01-01,8.0,Action,U,175000000.0,
Guardians of the Galaxy,2014-01-01,8.0,Action,UA,,
Blade Runner 2049,2017-01-01,8.0,Action,UA,28000000.0,
The Revenant,2015-01-01,8.0,Action,A,,
Tropa de Elite 2: O Inimigo Agora é Outro,2010-01-01,8.0,Action,Not Rated,,
Deadpool,2016-01-01,8.0,Action,R,,
Karthikeya 2,2022-01-01,8.0,Action,UA,,
Zack Snyder's Justice League,2021-01-01,8.0,Action,18,,
Ip Man,2008-01-01,8.0,Action,R,,
Nefes: Vatan Sagolsun,2009-01-01,8.0,Action,Not Rated,,
Dune: Part One,2021-01-01,8.0,Action,UA,,
Tropa de Elite,2007-01-01,8.0,Action,R,,
The Avengers,2012-01-01,8.0,Action,UA,,
The Avengers,2012-01-01,8.0,Action,UA,,
The Bourne Ultimatum,2007-01-01,8.0,Action,UA,,
Taegukgi hwinalrimyeo,2004-01-01,8.0,Action,R,,
Casino Royale,2006-01-01,8.0,Action,UA,50000000.0,
Casino Royale,2006-01-01,8.0,Action,UA,50000000.0,
Kill Bill: Vol. 2,2004-01-01,8.0,Action,A,,
Mou gaan dou,2002-01-01,8.0,Action,UA,,
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997-01-01,8.0,Animation,Not Rated,,
Andaz Apna Apna,1994-01-01,8.0,Action,U,,
Akira,1988-01-01,8.0,Animation,UA,,
Sanjuro,1962-01-01,8.0,Action,U,,
Minnal Murali,2021-01-01,7.9,Action,UA 16+,,
Airlift,2016-01-01,7.9,Action,UA,,
Baby,2015-01-01,7.9,Action,UA,,
Thor: Ragnarok,2017-01-01,7.9,Action,UA,180000000.0,
Serbuan maut 2: Berandal,2014-01-01,7.9,Action,A,,
Vishwaroopam,2013-01-01,7.9,Action,UA,,
X-Men: Days of Future Past,2014-01-01,7.9,Action,UA,,
The Batman,2022-01-01,7.9,Action,UA,,
Edge of Tomorrow,2014-01-01,7.9,Action,UA,,
District 9,2009-01-01,7.9,Action,A,30000000.0,
Star Trek,2009-01-01,7.9,Action,UA,,
Letters from Iwo Jima,2006-01-01,7.9,Action,UA,,
Iron Man,2008-01-01,7.9,Action,UA,,
Ying xiong,2002-01-01,7.9,Action,UA,,
The Bourne Identity,2002-01-01,7.9,Action,UA,60000000.0,
Children of Men,2006-01-01,7.9,Action,A,,
Wo hu cang long,2000-01-01,7.9,Action,UA,,
Knockin' on Heaven's Door,1997-01-01,7.9,Action,Not Rated,,
Kôkaku Kidôtai,1995-01-01,7.9,Animation,UA,,
The Blues Brothers,1980-01-01,7.9,Action,U,270000.0,
The Wild Bunch,1969-01-01,7.9,Action,A,6000000.0,
Per un pugno di dollari,1964-01-01,7.9,Action,A,,
The Adventures of Robin Hood,1938-01-01,7.9,Action,PG,2033000.0,
The Gentlemen,2019-01-01,7.8,Action,A,,
Doragon bôru chô: Burorî,2018-01-01,7.8,Animation,UA,,
Dunkirk,2017-01-01,7.8,Action,UA,,
Rogue One,2016-01-01,7.8,Action,UA,200000000.0,
Captain America: Civil War,2016-01-01,7.8,Action,UA,,
Star Wars: Episode VII - The Force Awakens,2015-01-01,7.8,Action,U,,
Big Hero 6,2014-01-01,7.8,Animation,U,,
Captain America: The Winter Soldier,2014-01-01,7.8,Action,UA,,
How to Train Your Dragon 2,2014-01-01,7.8,Animation,U,165000000.0,
Ang-ma-reul bo-at-da,2010-01-01,7.8,Action,Not Rated,,
Captain Phillips,2013-01-01,7.8,Action,UA,55000000.0,
Thirteen Lives,2022-01-01,7.8,Action,UA 16+,55000000.0,
Chugyeokja,2008-01-01,7.8,Action,Not Rated,,
Skyfall,2012-01-01,7.8,Action,UA,200000000.0,
The Fighter,2010-01-01,7.8,Action,UA,,
Taken,2008-01-01,7.8,Action,A,25000000.0,
Drive,2011-01-01,7.8,Action,A,1900000.0,
Avatar,2009-01-01,7.8,Action,UA,237000000.0,
Apocalypto,2006-01-01,7.8,Action,A,40000000.0,
Hot Fuzz,2007-01-01,7.8,Action,A,16000000.0,
Serenity,2005-01-01,7.8,Action,PG-13,,
Serenity,2005-01-01,7.8,Action,PG-13,,
The Last Samurai,2003-01-01,7.8,Action,UA,,
Cowboy Bebop: Tengoku no tobira,2001-01-01,7.8,Animation,U,,
Gongdong gyeongbi guyeok JSA,2000-01-01,7.8,Action,Not Rated,,
Jûbê ninpûchô,1993-01-01,7.8,Animation,A,,
The Fugitive,1993-01-01,7.8,Action,U,,
Batman: Mask of the Phantasm,1993-01-01,7.8,Animation,PG,,
Dip huet seung hung,1989-01-01,7.8,Action,R,,
Predator,1987-01-01,7.8,Action,A,,
