movie_name,movie_date,award_year,award_category,award_person,person_dateofbirth
The Theory of Everything,2014-01-01,2015-01-01,ACTRESS IN A LEADING ROLE,Felicity Jones,
Still Alice,2014-01-01,2015-01-01,ACTRESS IN A LEADING ROLE,Julianne Moore,
Gone Girl,2014-01-01,2015-01-01,ACTRESS IN A LEADING ROLE,Rosamund Pike,
Wild,2014-01-01,2015-01-01,ACTRESS IN A LEADING ROLE,Reese Witherspoon,
Boyhood,2014-01-01,2015-01-01,ACTRESS IN A SUPPORTING ROLE,Patricia Arquette,
Wild,2014-01-01,2015-01-01,ACTRESS IN A SUPPORTING ROLE,Laura Dern,
The Imitation Game,2014-01-01,2015-01-01,ACTRESS IN A SUPPORTING ROLE,Keira Knightley,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,2015-01-01,ACTRESS IN A SUPPORTING ROLE,Emma Stone,
Into the Woods,2014-01-01,2015-01-01,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,
Big Hero 6,2014-01-01,2015-01-01,ANIMATED FEATURE FILM,Don Hall,
The Boxtrolls,2014-01-01,2015-01-01,ANIMATED FEATURE FILM,Anthony Stacchi,
How to Train Your Dragon 2,2014-01-01,2015-01-01,ANIMATED FEATURE FILM,Dean DeBlois and Bonnie Arnold,
Song of the Sea,2014-01-01,2015-01-01,ANIMATED FEATURE FILM,Tomm Moore and Paul Young,
The Tale of the Princess Kaguya,2014-01-01,2015-01-01,ANIMATED FEATURE FILM,Isao Takahata and Yoshiaki Nishimura,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,2015-01-01,CINEMATOGRAPHY,Emmanuel Lubezki,
The Grand Budapest Hotel,2014-01-01,2015-01-01,CINEMATOGRAPHY,Robert Yeoman,
Ida,2014-01-01,2015-01-01,CINEMATOGRAPHY,Lukasz Zal and Ryszard Lenczewski,
Mr. Turner,2014-01-01,2015-01-01,CINEMATOGRAPHY,Dick Pope,
Unbroken,2014-01-01,2015-01-01,CINEMATOGRAPHY,Roger Deakins,
The Grand Budapest Hotel,2014-01-01,2015-01-01,COSTUME DESIGN,Milena Canonero,
Inherent Vice,2014-01-01,2015-01-01,COSTUME DESIGN,Mark Bridges,
Into the Woods,2014-01-01,2015-01-01,COSTUME DESIGN,Colleen Atwood,
Maleficent,2014-01-01,2015-01-01,COSTUME DESIGN,Anna B. Sheppard,
Mr. Turner,2014-01-01,2015-01-01,COSTUME DESIGN,Jacqueline Durran,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,2015-01-01,DIRECTING,Alejandro G. Iñárritu,
Boyhood,2014-01-01,2015-01-01,DIRECTING,Richard Linklater,
Foxcatcher,2014-01-01,2015-01-01,DIRECTING,Bennett Miller,
The Grand Budapest Hotel,2014-01-01,2015-01-01,DIRECTING,Wes Anderson,
The Imitation Game,2014-01-01,2015-01-01,DIRECTING,Morten Tyldum,
CitizenFour,2014-01-01,2015-01-01,DOCUMENTARY (Feature),Laura Poitras,
Finding Vivian Maier,2014-01-01,2015-01-01,DOCUMENTARY (Feature),John Maloof and Charlie Siskel,
Last Days in Vietnam,2014-01-01,2015-01-01,DOCUMENTARY (Feature),Rory Kennedy and Keven McAlester,
The Salt of the Earth,2014-01-01,2015-01-01,DOCUMENTARY (Feature),Wim Wenders,
Virunga,2014-01-01,2015-01-01,DOCUMENTARY (Feature),Orlando von Einsiedel and Joanna Natasegara,
Crisis Hotline: Veterans Press 1,2014-01-01,2015-01-01,DOCUMENTARY (Short Subject),Ellen Goosenberg Kent and Dana Perry,
Joanna,2014-01-01,2015-01-01,DOCUMENTARY (Short Subject),Aneta Kopacz,
Our Curse,2014-01-01,2015-01-01,DOCUMENTARY (Short Subject),Tomasz Sliwinski and Maciej Slesicki,
The Reaper (La Parka),2014-01-01,2015-01-01,DOCUMENTARY (Short Subject),Gabriel Serra Arguello,
White Earth,2014-01-01,2015-01-01,DOCUMENTARY (Short Subject),J. Christian Jensen,
American Sniper,2014-01-01,2015-01-01,FILM EDITING,Joel Cox and Gary D. Roach,
Boyhood,2014-01-01,2015-01-01,FILM EDITING,Sandra Adair,
The Grand Budapest Hotel,2014-01-01,2015-01-01,FILM EDITING,Barney Pilling,
The Imitation Game,2014-01-01,2015-01-01,FILM EDITING,William Goldenberg,
Whiplash,2014-01-01,2015-01-01,FILM EDITING,Tom Cross,
Ida,2014-01-01,2015-01-01,FOREIGN LANGUAGE FILM,Poland,
Leviathan,2014-01-01,2015-01-01,FOREIGN LANGUAGE FILM,Russia,
Tangerines,2014-01-01,2015-01-01,FOREIGN LANGUAGE FILM,Estonia,
Timbuktu,2014-01-01,2015-01-01,FOREIGN LANGUAGE FILM,Mauritania,
Wild Tales,2014-01-01,2015-01-01,FOREIGN LANGUAGE FILM,Argentina,
Foxcatcher,2014-01-01,2015-01-01,MAKEUP AND HAIRSTYLING,Bill Corso and Dennis Liddiard,
The Grand Budapest Hotel,2014-01-01,2015-01-01,MAKEUP AND HAIRSTYLING,Frances Hannon and Mark Coulier,
Guardians of the Galaxy,2014-01-01,2015-01-01,MAKEUP AND HAIRSTYLING,Elizabeth Yianni-Georgiou and David White,
The Grand Budapest Hotel,2014-01-01,2015-01-01,MUSIC (Original Score),Alexandre Desplat,
The Imitation Game,2014-01-01,2015-01-01,MUSIC (Original Score),Alexandre Desplat,
Interstellar,2014-01-01,2015-01-01,MUSIC (Original Score),Hans Zimmer,
Mr. Turner,2014-01-01,2015-01-01,MUSIC (Original Score),Gary Yershon,
The Theory of Everything,2014-01-01,2015-01-01,MUSIC (Original Score),Jóhann Jóhannsson,
The Lego Movie,2014-01-01,2015-01-01,MUSIC (Original Song),Music and Lyric by Shawn Patterson,
Selma,2014-01-01,2015-01-01,MUSIC (Original Song),Music and Lyric by John Stephens and Lonnie Lynn,
Beyond the Lights,2014-01-01,2015-01-01,MUSIC (Original Song),Music and Lyric by Diane Warren,
Glen Campbell...I'll Be Me,2014-01-01,2015-01-01,MUSIC (Original Song),Music and Lyric by Glen Campbell and Julian Raymond,
Begin Again,2014-01-01,2015-01-01,MUSIC (Original Song),Music and Lyric by Gregg Alexander and Danielle Brisebois,
American Sniper,2014-01-01,2015-01-01,BEST PICTURE,Clint Eastwood,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,2015-01-01,BEST PICTURE,Alejandro G. Iñárritu,
Boyhood,2014-01-01,2015-01-01,BEST PICTURE,Richard Linklater and Cathleen Sutherland,
The Grand Budapest Hotel,2014-01-01,2015-01-01,BEST PICTURE,Wes Anderson,
The Imitation Game,2014-01-01,2015-01-01,BEST PICTURE,Nora Grossman,
Selma,2014-01-01,2015-01-01,BEST PICTURE,Christian Colson,
The Theory of Everything,2014-01-01,2015-01-01,BEST PICTURE,Tim Bevan,
Whiplash,2014-01-01,2015-01-01,BEST PICTURE,Jason Blum,
The Grand Budapest Hotel,2014-01-01,2015-01-01,PRODUCTION DESIGN,Production Design: Adam Stockhausen,
The Imitation Game,2014-01-01,2015-01-01,PRODUCTION DESIGN,Production Design: Maria Djurkovic,
Interstellar,2014-01-01,2015-01-01,PRODUCTION DESIGN,Production Design: Nathan Crowley,
Into the Woods,2014-01-01,2015-01-01,PRODUCTION DESIGN,Production Design: Dennis Gassner,
Mr. Turner,2014-01-01,2015-01-01,PRODUCTION DESIGN,Production Design: Suzie Davies,
The Bigger Picture,2014-01-01,2015-01-01,SHORT FILM (Animated),Daisy Jacobs and Christopher Hees,
The Dam Keeper,2014-01-01,2015-01-01,SHORT FILM (Animated),Robert Kondo and Dice Tsutsumi,
Feast,2014-01-01,2015-01-01,SHORT FILM (Animated),Patrick Osborne and Kristina Reed,
Me and My Moulton,2014-01-01,2015-01-01,SHORT FILM (Animated),Torill Kove,
A Single Life,2014-01-01,2015-01-01,SHORT FILM (Animated),Joris Oprins,
Aya,2014-01-01,2015-01-01,SHORT FILM (Live Action),Oded Binnun and Mihal Brezis,
Boogaloo and Graham,2014-01-01,2015-01-01,SHORT FILM (Live Action),Michael Lennox and Ronan Blaney,
Butter Lamp (La Lampe Au Beurre De Yak),2014-01-01,2015-01-01,SHORT FILM (Live Action),Hu Wei and Julien Féret,
Parvaneh,2014-01-01,2015-01-01,SHORT FILM (Live Action),Talkhon Hamzavi and Stefan Eichenberger,
The Phone Call,2014-01-01,2015-01-01,SHORT FILM (Live Action),Mat Kirkby and James Lucas,
American Sniper,2014-01-01,2015-01-01,SOUND EDITING,Alan Robert Murray and Bub Asman,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,2015-01-01,SOUND EDITING,Martín Hernández and Aaron Glascock,
The Hobbit: The Battle of the Five Armies,2014-01-01,2015-01-01,SOUND EDITING,Brent Burge and Jason Canovas,
Interstellar,2014-01-01,2015-01-01,SOUND EDITING,Richard King,
Unbroken,2014-01-01,2015-01-01,SOUND EDITING,Becky Sullivan and Andrew DeCristofaro,
American Sniper,2014-01-01,2015-01-01,SOUND MIXING,John Reitz,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,2015-01-01,SOUND MIXING,Jon Taylor,
Interstellar,2014-01-01,2015-01-01,SOUND MIXING,Gary A. Rizzo,
Unbroken,2014-01-01,2015-01-01,SOUND MIXING,Jon Taylor,
Whiplash,2014-01-01,2015-01-01,SOUND MIXING,Craig Mann,
Captain America: The Winter Soldier,2014-01-01,2015-01-01,VISUAL EFFECTS,Dan DeLeeuw,
Dawn of the Planet of the Apes,2014-01-01,2015-01-01,VISUAL EFFECTS,Joe Letteri,
Guardians of the Galaxy,2014-01-01,2015-01-01,VISUAL EFFECTS,Stephane Ceretti,
Interstellar,2014-01-01,2015-01-01,VISUAL EFFECTS,Paul Franklin,
X-Men: Days of Future Past,2014-01-01,2015-01-01,VISUAL EFFECTS,Richard Stammers,
American Sniper,2014-01-01,2015-01-01,WRITING (Adapted Screenplay),Written by Jason Hall,
The Imitation Game,2014-01-01,2015-01-01,WRITING (Adapted Screenplay),Written by Graham Moore,
Inherent Vice,2014-01-01,2015-01-01,WRITING (Adapted Screenplay),Written for the screen by Paul Thomas Anderson,
The Theory of Everything,2014-01-01,2015-01-01,WRITING (Adapted Screenplay),Screenplay by Anthony McCarten,
Whiplash,2014-01-01,2015-01-01,WRITING (Adapted Screenplay),Written by Damien Chazelle,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,2015-01-01,WRITING (Original Screenplay),Written by Alejandro G. Iñárritu,
Boyhood,2014-01-01,2015-01-01,WRITING (Original Screenplay),Written by Richard Linklater,
Foxcatcher,2014-01-01,2015-01-01,WRITING (Original Screenplay),Written by E. Max Frye and Dan Futterman,
The Grand Budapest Hotel,2014-01-01,2015-01-01,WRITING (Original Screenplay),Screenplay by Wes Anderson,
Nightcrawler,2014-01-01,2015-01-01,WRITING (Original Screenplay),Written by Dan Gilroy,
Trumbo,2015-01-01,2016-01-01,ACTOR IN A LEADING ROLE,Bryan Cranston,
The Martian,2015-01-01,2016-01-01,ACTOR IN A LEADING ROLE,Matt Damon,
The Revenant,2015-01-01,2016-01-01,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,
Steve Jobs,2015-01-01,2016-01-01,ACTOR IN A LEADING ROLE,Michael Fassbender,
The Danish Girl,2015-01-01,2016-01-01,ACTOR IN A LEADING ROLE,Eddie Redmayne,
The Big Short,2015-01-01,2016-01-01,ACTOR IN A SUPPORTING ROLE,Christian Bale,
The Revenant,2015-01-01,2016-01-01,ACTOR IN A SUPPORTING ROLE,Tom Hardy,
Spotlight,2015-01-01,2016-01-01,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,
Bridge of Spies,2015-01-01,2016-01-01,ACTOR IN A SUPPORTING ROLE,Mark Rylance,
Creed,2015-01-01,2016-01-01,ACTOR IN A SUPPORTING ROLE,Sylvester Stallone,
Carol,2015-01-01,2016-01-01,ACTRESS IN A LEADING ROLE,Cate Blanchett,
Room,2015-01-01,2016-01-01,ACTRESS IN A LEADING ROLE,Brie Larson,
Joy,2015-01-01,2016-01-01,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,
45 Years,2015-01-01,2016-01-01,ACTRESS IN A LEADING ROLE,Charlotte Rampling,
Brooklyn,2015-01-01,2016-01-01,ACTRESS IN A LEADING ROLE,Saoirse Ronan,
The Hateful Eight,2015-01-01,2016-01-01,ACTRESS IN A SUPPORTING ROLE,Jennifer Jason Leigh,
Carol,2015-01-01,2016-01-01,ACTRESS IN A SUPPORTING ROLE,Rooney Mara,
Spotlight,2015-01-01,2016-01-01,ACTRESS IN A SUPPORTING ROLE,Rachel McAdams,
The Danish Girl,2015-01-01,2016-01-01,ACTRESS IN A SUPPORTING ROLE,Alicia Vikander,
Steve Jobs,2015-01-01,2016-01-01,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,
Anomalisa,2015-01-01,2016-01-01,ANIMATED FEATURE FILM,Charlie Kaufman,
Boy and the World,2015-01-01,2016-01-01,ANIMATED FEATURE FILM,Alê Abreu,
Inside Out,2015-01-01,2016-01-01,ANIMATED FEATURE FILM,Pete Docter and Jonas Rivera,
Shaun the Sheep Movie,2015-01-01,2016-01-01,ANIMATED FEATURE FILM,Mark Burton and Richard Starzak,
When Marnie Was There,2015-01-01,2016-01-01,ANIMATED FEATURE FILM,Hiromasa Yonebayashi and Yoshiaki Nishimura,
Carol,2015-01-01,2016-01-01,CINEMATOGRAPHY,Ed Lachman,
The Hateful Eight,2015-01-01,2016-01-01,CINEMATOGRAPHY,Robert Richardson,
Mad Max: Fury Road,2015-01-01,2016-01-01,CINEMATOGRAPHY,John Seale,
The Revenant,2015-01-01,2016-01-01,CINEMATOGRAPHY,Emmanuel Lubezki,
Sicario,2015-01-01,2016-01-01,CINEMATOGRAPHY,Roger Deakins,
Carol,2015-01-01,2016-01-01,COSTUME DESIGN,Sandy Powell,
Cinderella,2015-01-01,2016-01-01,COSTUME DESIGN,Sandy Powell,
The Danish Girl,2015-01-01,2016-01-01,COSTUME DESIGN,Paco Delgado,
Mad Max: Fury Road,2015-01-01,2016-01-01,COSTUME DESIGN,Jenny Beavan,
The Revenant,2015-01-01,2016-01-01,COSTUME DESIGN,Jacqueline West,
The Big Short,2015-01-01,2016-01-01,DIRECTING,Adam McKay,
Mad Max: Fury Road,2015-01-01,2016-01-01,DIRECTING,George Miller,
The Revenant,2015-01-01,2016-01-01,DIRECTING,Alejandro G. Iñárritu,
Room,2015-01-01,2016-01-01,DIRECTING,Lenny Abrahamson,
Spotlight,2015-01-01,2016-01-01,DIRECTING,Tom McCarthy,
Amy,2015-01-01,2016-01-01,DOCUMENTARY (Feature),Asif Kapadia and James Gay-Rees,
Cartel Land,2015-01-01,2016-01-01,DOCUMENTARY (Feature),Matthew Heineman and Tom Yellin,
The Look of Silence,2015-01-01,2016-01-01,DOCUMENTARY (Feature),Joshua Oppenheimer and Signe Byrge Sørensen,
"What Happened, Miss Simone?",2015-01-01,2016-01-01,DOCUMENTARY (Feature),Liz Garbus,
Winter on Fire: Ukraine's Fight for Freedom,2015-01-01,2016-01-01,DOCUMENTARY (Feature),Evgeny Afineevsky and Den Tolmor,
Body Team 12,2015-01-01,2016-01-01,DOCUMENTARY (Short Subject),David Darg and Bryn Mooser,
"Chau, beyond the Lines",2015-01-01,2016-01-01,DOCUMENTARY (Short Subject),Courtney Marsh and Jerry Franck,
Claude Lanzmann: Spectres of the Shoah,2015-01-01,2016-01-01,DOCUMENTARY (Short Subject),Adam Benzine,
A Girl in the River: The Price of Forgiveness,2015-01-01,2016-01-01,DOCUMENTARY (Short Subject),Sharmeen Obaid-Chinoy,
Last Day of Freedom,2015-01-01,2016-01-01,DOCUMENTARY (Short Subject),Dee Hibbert-Jones and Nomi Talisman,
The Big Short,2015-01-01,2016-01-01,FILM EDITING,Hank Corwin,
Mad Max: Fury Road,2015-01-01,2016-01-01,FILM EDITING,Margaret Sixel,
The Revenant,2015-01-01,2016-01-01,FILM EDITING,Stephen Mirrione,
Spotlight,2015-01-01,2016-01-01,FILM EDITING,Tom McArdle,
Star Wars: The Force Awakens,2015-01-01,2016-01-01,FILM EDITING,Maryann Brandon and Mary Jo Markey,
Embrace of the Serpent,2015-01-01,2016-01-01,FOREIGN LANGUAGE FILM,Colombia,
Mustang,2015-01-01,2016-01-01,FOREIGN LANGUAGE FILM,France,
Son of Saul,2015-01-01,2016-01-01,FOREIGN LANGUAGE FILM,Hungary,
Theeb,2015-01-01,2016-01-01,FOREIGN LANGUAGE FILM,Jordan,
A War,2015-01-01,2016-01-01,FOREIGN LANGUAGE FILM,Denmark,
Mad Max: Fury Road,2015-01-01,2016-01-01,MAKEUP AND HAIRSTYLING,Lesley Vanderwalt,
The 100-Year-Old Man Who Climbed out the Window and Disappeared,2015-01-01,2016-01-01,MAKEUP AND HAIRSTYLING,Love Larson and Eva von Bahr,
The Revenant,2015-01-01,2016-01-01,MAKEUP AND HAIRSTYLING,Siân Grigg,
Bridge of Spies,2015-01-01,2016-01-01,MUSIC (Original Score),Thomas Newman,
Carol,2015-01-01,2016-01-01,MUSIC (Original Score),Carter Burwell,
The Hateful Eight,2015-01-01,2016-01-01,MUSIC (Original Score),Ennio Morricone,
Sicario,2015-01-01,2016-01-01,MUSIC (Original Score),Jóhann Jóhannsson,
Star Wars: The Force Awakens,2015-01-01,2016-01-01,MUSIC (Original Score),John Williams,
Fifty Shades of Grey,2015-01-01,2016-01-01,MUSIC (Original Song),Music and Lyric by The Weeknd,
Racing Extinction,2015-01-01,2016-01-01,MUSIC (Original Song),Music by J. Ralph,
Youth,2015-01-01,2016-01-01,MUSIC (Original Song),Music and Lyric by David Lang,
The Hunting Ground,2015-01-01,2016-01-01,MUSIC (Original Song),Music and Lyric by Diane Warren and Lady Gaga,
Spectre,2015-01-01,2016-01-01,MUSIC (Original Song),Music and Lyric by Jimmy Napes and Sam Smith,
The Big Short,2015-01-01,2016-01-01,BEST PICTURE,Brad Pitt,
Bridge of Spies,2015-01-01,2016-01-01,BEST PICTURE,Steven Spielberg,
Brooklyn,2015-01-01,2016-01-01,BEST PICTURE,Finola Dwyer and Amanda Posey,
Mad Max: Fury Road,2015-01-01,2016-01-01,BEST PICTURE,Doug Mitchell and George Miller,
The Martian,2015-01-01,2016-01-01,BEST PICTURE,Simon Kinberg,
The Revenant,2015-01-01,2016-01-01,BEST PICTURE,Arnon Milchan,
Room,2015-01-01,2016-01-01,BEST PICTURE,Ed Guiney,
Spotlight,2015-01-01,2016-01-01,BEST PICTURE,Michael Sugar,
Bridge of Spies,2015-01-01,2016-01-01,PRODUCTION DESIGN,Production Design: Adam Stockhausen,
The Danish Girl,2015-01-01,2016-01-01,PRODUCTION DESIGN,Production Design: Eve Stewart,
Mad Max: Fury Road,2015-01-01,2016-01-01,PRODUCTION DESIGN,Production Design: Colin Gibson,
The Martian,2015-01-01,2016-01-01,PRODUCTION DESIGN,Production Design: Arthur Max,
The Revenant,2015-01-01,2016-01-01,PRODUCTION DESIGN,Production Design: Jack Fisk,
Bear Story,2015-01-01,2016-01-01,SHORT FILM (Animated),Gabriel Osorio and Pato Escala,
Prologue,2015-01-01,2016-01-01,SHORT FILM (Animated),Richard Williams and Imogen Sutton,
Sanjay's Super Team,2015-01-01,2016-01-01,SHORT FILM (Animated),Sanjay Patel and Nicole Grindle,
We Can't Live without Cosmos,2015-01-01,2016-01-01,SHORT FILM (Animated),Konstantin Bronzit,
World of Tomorrow,2015-01-01,2016-01-01,SHORT FILM (Animated),Don Hertzfeldt,
Ave Maria,2015-01-01,2016-01-01,SHORT FILM (Live Action),Basil Khalil and Eric Dupont,
Day One,2015-01-01,2016-01-01,SHORT FILM (Live Action),Henry Hughes,
Everything Will Be Okay (Alles Wird Gut),2015-01-01,2016-01-01,SHORT FILM (Live Action),Patrick Vollrath,
Shok,2015-01-01,2016-01-01,SHORT FILM (Live Action),Jamie Donoughue,
Stutterer,2015-01-01,2016-01-01,SHORT FILM (Live Action),Benjamin Cleary and Serena Armitage,
Mad Max: Fury Road,2015-01-01,2016-01-01,SOUND EDITING,Mark Mangini and David White,
The Martian,2015-01-01,2016-01-01,SOUND EDITING,Oliver Tarney,
The Revenant,2015-01-01,2016-01-01,SOUND EDITING,Martin Hernandez and Lon Bender,
Sicario,2015-01-01,2016-01-01,SOUND EDITING,Alan Robert Murray,
Star Wars: The Force Awakens,2015-01-01,2016-01-01,SOUND EDITING,Matthew Wood and David Acord,
Bridge of Spies,2015-01-01,2016-01-01,SOUND MIXING,Andy Nelson,
Mad Max: Fury Road,2015-01-01,2016-01-01,SOUND MIXING,Chris Jenkins,
The Martian,2015-01-01,2016-01-01,SOUND MIXING,Paul Massey,
The Revenant,2015-01-01,2016-01-01,SOUND MIXING,Jon Taylor,
Star Wars: The Force Awakens,2015-01-01,2016-01-01,SOUND MIXING,Andy Nelson,
Ex Machina,2015-01-01,2016-01-01,VISUAL EFFECTS,Andrew Whitehurst,
Mad Max: Fury Road,2015-01-01,2016-01-01,VISUAL EFFECTS,Andrew Jackson,
The Martian,2015-01-01,2016-01-01,VISUAL EFFECTS,Richard Stammers,
The Revenant,2015-01-01,2016-01-01,VISUAL EFFECTS,Rich McBride,
Star Wars: The Force Awakens,2015-01-01,2016-01-01,VISUAL EFFECTS,Roger Guyett,
The Big Short,2015-01-01,2016-01-01,WRITING (Adapted Screenplay),Screenplay by Charles Randolph and Adam McKay,
Brooklyn,2015-01-01,2016-01-01,WRITING (Adapted Screenplay),Screenplay by Nick Hornby,
Carol,2015-01-01,2016-01-01,WRITING (Adapted Screenplay),Screenplay by Phyllis Nagy,
The Martian,2015-01-01,2016-01-01,WRITING (Adapted Screenplay),Screenplay by Drew Goddard,
Room,2015-01-01,2016-01-01,WRITING (Adapted Screenplay),Screenplay by Emma Donoghue,
Bridge of Spies,2015-01-01,2016-01-01,WRITING (Original Screenplay),Written by Matt Charman and Ethan Coen & Joel Coen,
Ex Machina,2015-01-01,2016-01-01,WRITING (Original Screenplay),Written by Alex Garland,
Inside Out,2015-01-01,2016-01-01,WRITING (Original Screenplay),Screenplay by Pete Docter,
Spotlight,2015-01-01,2016-01-01,WRITING (Original Screenplay),Written by Josh Singer & Tom McCarthy,
Straight Outta Compton,2015-01-01,2016-01-01,WRITING (Original Screenplay),Screenplay by Jonathan Herman and Andrea Berloff,
Manchester by the Sea,2016-01-01,2017-01-01,ACTOR IN A LEADING ROLE,Casey Affleck,
Hacksaw Ridge,2016-01-01,2017-01-01,ACTOR IN A LEADING ROLE,Andrew Garfield,
La La Land,2016-01-01,2017-01-01,ACTOR IN A LEADING ROLE,Ryan Gosling,
Captain Fantastic,2016-01-01,2017-01-01,ACTOR IN A LEADING ROLE,Viggo Mortensen,
Fences,2016-01-01,2017-01-01,ACTOR IN A LEADING ROLE,Denzel Washington,
Moonlight,2016-01-01,2017-01-01,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,
Hell or High Water,2016-01-01,2017-01-01,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,
Manchester by the Sea,2016-01-01,2017-01-01,ACTOR IN A SUPPORTING ROLE,Lucas Hedges,
Lion,2016-01-01,2017-01-01,ACTOR IN A SUPPORTING ROLE,Dev Patel,
Nocturnal Animals,2016-01-01,2017-01-01,ACTOR IN A SUPPORTING ROLE,Michael Shannon,
Elle,2016-01-01,2017-01-01,ACTRESS IN A LEADING ROLE,Isabelle Huppert,
Loving,2016-01-01,2017-01-01,ACTRESS IN A LEADING ROLE,Ruth Negga,
Jackie,2016-01-01,2017-01-01,ACTRESS IN A LEADING ROLE,Natalie Portman,
La La Land,2016-01-01,2017-01-01,ACTRESS IN A LEADING ROLE,Emma Stone,
Florence Foster Jenkins,2016-01-01,2017-01-01,ACTRESS IN A LEADING ROLE,Meryl Streep,
Fences,2016-01-01,2017-01-01,ACTRESS IN A SUPPORTING ROLE,Viola Davis,
Moonlight,2016-01-01,2017-01-01,ACTRESS IN A SUPPORTING ROLE,Naomie Harris,
Lion,2016-01-01,2017-01-01,ACTRESS IN A SUPPORTING ROLE,Nicole Kidman,
Hidden Figures,2016-01-01,2017-01-01,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,
Manchester by the Sea,2016-01-01,2017-01-01,ACTRESS IN A SUPPORTING ROLE,Michelle Williams,
Kubo and the Two Strings,2016-01-01,2017-01-01,ANIMATED FEATURE FILM,Travis Knight and Arianne Sutner,
Moana,2016-01-01,2017-01-01,ANIMATED FEATURE FILM,John Musker,
My Life as a Zucchini,2016-01-01,2017-01-01,ANIMATED FEATURE FILM,Claude Barras and Max Karli,
The Red Turtle,2016-01-01,2017-01-01,ANIMATED FEATURE FILM,Michael Dudok de Wit and Toshio Suzuki,
Zootopia,2016-01-01,2017-01-01,ANIMATED FEATURE FILM,Byron Howard,
Arrival,2016-01-01,2017-01-01,CINEMATOGRAPHY,Bradford Young,
La La Land,2016-01-01,2017-01-01,CINEMATOGRAPHY,Linus Sandgren,
Lion,2016-01-01,2017-01-01,CINEMATOGRAPHY,Greig Fraser,
Moonlight,2016-01-01,2017-01-01,CINEMATOGRAPHY,James Laxton,
Silence,2016-01-01,2017-01-01,CINEMATOGRAPHY,Rodrigo Prieto,
Allied,2016-01-01,2017-01-01,COSTUME DESIGN,Joanna Johnston,
Fantastic Beasts and Where to Find Them,2016-01-01,2017-01-01,COSTUME DESIGN,Colleen Atwood,
Florence Foster Jenkins,2016-01-01,2017-01-01,COSTUME DESIGN,Consolata Boyle,
Jackie,2016-01-01,2017-01-01,COSTUME DESIGN,Madeline Fontaine,
La La Land,2016-01-01,2017-01-01,COSTUME DESIGN,Mary Zophres,
Arrival,2016-01-01,2017-01-01,DIRECTING,Denis Villeneuve,
Hacksaw Ridge,2016-01-01,2017-01-01,DIRECTING,Mel Gibson,
La La Land,2016-01-01,2017-01-01,DIRECTING,Damien Chazelle,
Manchester by the Sea,2016-01-01,2017-01-01,DIRECTING,Kenneth Lonergan,
Moonlight,2016-01-01,2017-01-01,DIRECTING,Barry Jenkins,
Fire at Sea,2016-01-01,2017-01-01,DOCUMENTARY (Feature),Gianfranco Rosi and Donatella Palermo,
I Am Not Your Negro,2016-01-01,2017-01-01,DOCUMENTARY (Feature),Raoul Peck,
"Life, Animated",2016-01-01,2017-01-01,DOCUMENTARY (Feature),Roger Ross Williams and Julie Goldman,
O.J.: Made in America,2016-01-01,2017-01-01,DOCUMENTARY (Feature),Ezra Edelman and Caroline Waterlow,
13th,2016-01-01,2017-01-01,DOCUMENTARY (Feature),Ava DuVernay,
Extremis,2016-01-01,2017-01-01,DOCUMENTARY (Short Subject),Dan Krauss,
4.1 Miles,2016-01-01,2017-01-01,DOCUMENTARY (Short Subject),Daphne Matziaraki,
Joe's Violin,2016-01-01,2017-01-01,DOCUMENTARY (Short Subject),Kahane Cooperman and Raphaela Neihausen,
Watani: My Homeland,2016-01-01,2017-01-01,DOCUMENTARY (Short Subject),Marcel Mettelsiefen and Stephen Ellis,
The White Helmets,2016-01-01,2017-01-01,DOCUMENTARY (Short Subject),Orlando von Einsiedel and Joanna Natasegara,
Arrival,2016-01-01,2017-01-01,FILM EDITING,Joe Walker,
Hacksaw Ridge,2016-01-01,2017-01-01,FILM EDITING,John Gilbert,
Hell or High Water,2016-01-01,2017-01-01,FILM EDITING,Jake Roberts,
La La Land,2016-01-01,2017-01-01,FILM EDITING,Tom Cross,
Moonlight,2016-01-01,2017-01-01,FILM EDITING,Nat Sanders and Joi McMillon,
Land of Mine,2016-01-01,2017-01-01,FOREIGN LANGUAGE FILM,Denmark,
A Man Called Ove,2016-01-01,2017-01-01,FOREIGN LANGUAGE FILM,Sweden,
The Salesman,2016-01-01,2017-01-01,FOREIGN LANGUAGE FILM,Iran,
Tanna,2016-01-01,2017-01-01,FOREIGN LANGUAGE FILM,Australia,
