movie_name,movie_genre,movie_side_genre
Dr. No,Action, Adventure
Mosul,Action, Drama
Black Adam,Action, Adventure
Free Guy,Action, Adventure
Brawl in Cell Block 99,Action, Crime
Kaabil,Action, Crime
Allied,Action, Drama
American Made,Action, Comedy
Fast & Furious 7,Action, Crime
Everest,Action, Adventure
Kraftidioten,Action, Comedy
Gabbar Is Back,Action, Crime
Kung Fu Panda 3,Animation, Action
Dragon Ball Z: Doragon bôru Z - Kami to Kami,Animation, Action
God Bless America,Action, Comedy
Batman v Superman: Dawn of Justice (Ultimate Edition),Action, Adventure
Deepwater Horizon,Action, Drama
Snowpiercer,Action, Sci-Fi
Dredd,Action, Crime
Enthiran,Action, Sci-Fi
Iron Man Three,Action, Adventure
Flickan som lekte med elden,Action, Crime
Micmacs à tire-larigot,Action, Comedy
JCVD,Action, Comedy
The Northman,Action, Adventure
Wrath of Man,Action, Crime
Planet Terror,Action, Comedy
Defiance,Action, Drama
Shooter,Action, Drama
Man of Steel,Action, Adventure
Rocky Balboa,Action, Drama
Don,Action, Crime
Deja Vu,Action, Crime
Pirates of the Caribbean: At World's End,Action, Adventure
Fanaa,Action, Drama
Flags of Our Fathers,Action, Adventure
Banlieue 13,Action, Crime
Ong-bak,Action, Crime
I,Action, Mystery
 Robot,Action, Mystery
Live Free or Die Hard,Action, Thriller
We Were Soldiers,Action, Drama
Pitch Black,Action, Horror
Payback,Action, Crime
The Mummy,Action, Adventure
Blade,Action, Horror
Three Kings,Action, Adventure
Mission: Impossible,Action, Adventure
Desperado,Action, Crime
Batman Returns,Action, Crime
Die Hard 2,Action, Thriller
Casualties of War,Action, Crime
No Way Out,Action, Crime
Highlander,Action, Adventure
WarGames,Action, Drama
Escape from New York,Action, Adventure
The Poseidon Adventure,Action, Adventure
Doctor Strange in the Multiverse of Madness,Action, Adventure
Kabir Singh,Action, Drama
Greyhound,Action, Drama
Logan Lucky,Action, Comedy
Ant-Man and the Wasp,Action, Adventure
Sicario: Day of the Soldado,Action, Crime
Sultan,Action, Drama
Spy,Action, Comedy
A Most Violent Year,Action, Crime
Yip Man 3,Action, Biography
Star Trek Beyond,Action, Adventure
22 Jump Street,Action, Comedy
Yip Man 4,Action, Biography
Furious 6,Action, Crime
Chronicle,Action, Drama
Super 8,Action, Mystery
Yip Man chin chyun,Action, Biography
The Foreigner,Action, Thriller
Oblivion,Action, Adventure
Filth,Action, Comedy
Don 2,Action, Crime
Den of Thieves,Action, Crime
RED,Action, Comedy
Bronson,Action, Biography
Public Enemies,Action, Biography
The Unbearable Weight of Massive Talent,Action, Comedy
Cloverfield,Action, Horror
Death Proof,Action, Thriller
Tropic Thunder,Action, Comedy
Tau ming chong,Action, Adventure
Son of Rambow,Action, Adventure
World War Z,Action, Adventure
Thor,Action, Adventure
Jack Reacher,Action, Mystery
Body of Lies,Action, Drama
Man cheng jin dai huang jin jia,Action, Drama
9,Animation, Action
Rambo,Action, Adventure
Shazam!,Action, Adventure
Real Steel,Action, Drama
The Kingdom,Action, Drama
Tom yum goong,Action, Crime
Transformers,Action, Adventure
Hellboy II: The Golden Army,Action, Adventure
Constantine,Action, Fantasy
Main Hoon Na,Action, Comedy
Unleashed,Action, Crime
Underworld,Action, Fantasy
Koroshiya 1,Action, Crime
Spy Game,Action, Crime
Le pacte des loups,Action, Adventure
Taxi,Action, Comedy
Rush Hour,Action, Comedy
Fallen,Action, Crime
Independence Day,Action, Adventure
Stargate,Action, Adventure
Maverick,Action, Adventure
Dragon: The Bruce Lee Story,Action, Biography
Juice,Action, Crime
The Last Boy Scout,Action, Comedy
The Spy Who Loved Me,Action, Adventure
The Towering Inferno,Action, Drama
Thunderbolt and Lightfoot,Action, Comedy
The War of the Worlds,Action, Sci-Fi
Outlaw King,Action, Biography
Dragged Across Concrete,Action, Thriller
The Night Comes for Us,Action, Thriller
Solo: A Star Wars Story,Action, Adventure
Fan,Action, Drama
X-Men: Apocalypse,Action, Adventure
Slow West,Action, Adventure
Game Night,Action, Adventure
Star Wars: Episode VIII - The Last Jedi,Action, Adventure
Jumanji: Welcome to the Jungle,Action, Adventure
Love and Monsters,Action, Adventure
Non-Stop,Action, Mystery
All Is Lost,Action, Adventure
The Hitman's Bodyguard,Action, Comedy
Pacific Rim,Action, Adventure
Get the Gringo,Action, Drama
In the Heart of the Sea,Action, Adventure
Iron Man 2,Action, Adventure
Legend of the Guardians: The Owls of Ga'Hoole,Animation, Action
The World's End,Action, Comedy
Jackass Forever,Action, Comedy
Free State of Jones,Action, Biography
Traitor,Action, Crime
The Amazing Spider-Man,Action, Adventure
Pineapple Express,Action, Comedy
Crank,Action, Crime
Alan Partridge: Alpha Papa,Action, Comedy
28 Weeks Later,Action, Adventure
Captain America: The First Avenger,Action, Adventure
The Guardian,Action, Adventure
San ging chaat goo si,Action, Crime
Jurassic World,Action, Adventure
National Treasure,Action, Adventure
Mission: Impossible III,Action, Adventure
The Last Castle,Action, Drama
Atlantis: The Lost Empire,Animation, Action
A Knight's Tale,Action, Adventure
The Edge,Action, Adventure
Con Air,Action, Crime
The Mask,Action, Comedy
Clear and Present Danger,Action, Crime
Robin Hood: Prince of Thieves,Action, Adventure
Memphis Belle,Action, Drama
The Monster Squad,Action, Comedy
Top Gun,Action, Drama
Romancing the Stone,Action, Adventure
Repo Man,Action, Comedy
48 Hrs.,Action, Comedy
Conan the Barbarian,Action, Adventure
Clash of the Titans,Action, Adventure
Smokey and the Bandit,Action, Adventure
Death Wish,Action, Crime
Westworld,Action, Sci-Fi
Tang shan da xiong,Action, Crime
Thunderball,Action, Adventure
Ready or Not,Action, Comedy
Boss Level,Action, Adventure
News of the World,Action, Adventure
Spies in Disguise,Animation, Action
Shin Gojira,Action, Drama
Captain Marvel,Action, Adventure
The Outpost,Action, Drama
Død snø 2,Action, Comedy
Spectre,Action, Adventure
Thor: The Dark World,Action, Adventure
Chappie,Action, Crime
The Maze Runner,Action, Mystery
Tres metros sobre el cielo,Action, Drama
The Grey,Action, Adventure
What Happened to Monday,Action, Crime
Aquaman,Action, Adventure
Men in Black 3,Action, Adventure
Unknown,Action, Mystery
Tron,Action, Adventure
The Book of Eli,Action, Adventure
Hanna,Action, Adventure
Green Zone,Action, Drama
We Own the Night,Action, Crime
Unstoppable,Action, Thriller
Harsh Times,Action, Crime
Four Brothers,Action, Crime
Street Kings,Action, Crime
The Island,Action, Sci-Fi
Tristan + Isolde,Action, Drama
The Transporter,Action, Crime
Dog Soldiers,Action, Horror
The Fast and the Furious,Action, Crime
The Score,Action, Crime
Hellboy,Action, Adventure
Ngo si seoi,Action, Adventure
The Mask of Zorro,Action, Adventure
The Long Kiss Goodnight,Action, Crime
Bad Boys,Action, Comedy
Patriot Games,Action, Thriller
El mariachi,Action, Crime
Young Guns,Action, Western
Innerspace,Action, Adventure
Bloodsport,Action, Biography
Enemy Mine,Action, Adventure
Superman II,Action, Adventure
Mad Max,Action, Adventure
Logan's Run,Action, Adventure
On Her Majesty's Secret Service,Action, Adventure
You Only Live Twice,Action, Adventure
Extraction,Action, Thriller
Jumanji: The Next Level,Action, Adventure
Midway,Action, Drama
Bumblebee,Action, Adventure
Kingsman: The Golden Circle,Action, Adventure
Harriet,Action, Biography
The Equalizer 2,Action, Crime
Jungle,Action, Adventure
Turbo Kid,Action, Adventure
Black Widow,Action, Adventure
Hardcore Henry,Action, Adventure
The Guest,Action, Mystery
Pete's Dragon,Action, Adventure
The Salvation,Action, Drama
The Adam Project,Action, Adventure
Atomic Blonde,Action, Thriller
The Finest Hours,Action, Drama
King Arthur: Legend of the Sword,Action, Adventure
No Escape,Action, Thriller
In Time,Action, Sci-Fi
Safe House,Action, Thriller
Machine Gun Preacher,Action, Biography
Zombieland: Double Tap,Action, Comedy
Super,Action, Comedy
The Wolverine,Action, Sci-Fi
Antim: The Final Truth,Action, Crime
Gangster Squad,Action, Crime
2 Guns,Action, Thriller
Wild Target,Action, Comedy
Escape Plan,Action, Thriller
Brooklyn's Finest,Action, Crime
Out of the Furnace,Action, Crime
Pandorum,Action, Horror
Om Shanti Om,Action, Comedy
The Brothers Bloom,Action, Adventure
Angels & Demons,Action, Mystery
Death Sentence,Action, Adventure
Warcraft,Action, Adventure
Appaloosa,Action, Crime
Wanted,Action, Crime
The Brave One,Action, Crime
The A-Team,Action, Adventure
Underworld: Evolution,Action, Fantasy
Blood and Bone,Action, Crime
Hidalgo,Action, Adventure
The Matrix Revolutions,Action, Sci-Fi
Blade II,Action, Horror
Armageddon,Action, Adventure
