movie_name,movie_date,director
Thirteen Lives,1970,Ron Howard
Chugyeokja,1970,Na Hong-jin
Skyfall,1970,Sam Mendes
The Fighter,1970,David O. Russell
Taken,1970,Pierre Morel
Drive,1970,Nicolas Winding Refn
Avatar,1970,James Cameron
Apocalypto,1970,Mel Gibson
Hot Fuzz,1970,Edgar Wright
Serenity,1970,Joss Whedon
The Last Samurai,1970,Edward Zwick
Cowboy Bebop: Tengoku no tobira,1970,Directors:Shin'ichirô Watanabe
Cowboy Bebop: Tengoku no tobira,1970,Tensai Okamura
Cowboy Bebop: Tengoku no tobira,1970,Hiroyuki Okiura
Cowboy Bebop: Tengoku no tobira,1970,Yoshiyuki Takei
Gongdong gyeongbi guyeok JSA,1970,Park Chan-wook
Jûbê ninpûchô,1970,Yoshiaki Kawajiri
The Fugitive,1970,Andrew Davis
Batman: Mask of the Phantasm,1970,Directors:Kevin Altieri
Batman: Mask of the Phantasm,1970,Boyd Kirkland
Batman: Mask of the Phantasm,1970,Frank Paur
Batman: Mask of the Phantasm,1970,Dan Riba
Batman: Mask of the Phantasm,1970,Eric Radomski
Batman: Mask of the Phantasm,1970,Bruce Timm
Dip huet seung hung,1970,John Woo
Predator,1970,John McTiernan
Ghostbusters,1970,Ivan Reitman
"Aguirre, der Zorn Gottes",1970,Werner Herzog
Raazi,1970,Meghna Gulzar
Deadpool 2,1970,David Leitch
Mission: Impossible - Fallout,1970,Christopher McQuarrie
Udta Punjab,1970,Abhishek Chaubey
Kubo and the Two Strings,1970,Travis Knight
Kingsman: The Secret Service,1970,Matthew Vaughn
Ajeossi,1970,Jeong-beom Lee
The Lego Movie,1970,Directors:Phil Lord
The Lego Movie,1970,Christopher Miller
Star Trek Into Darkness,1970,J.J. Abrams
X: First Class,1970,Matthew Vaughn
3:10 to Yuma,1970,James Mangold
Kung fu,1970,Stephen Chow
The Bourne Supremacy,1970,Paul Greengrass
Man on Fire,1970,Tony Scott
Black Hawk Down,1970,Ridley Scott
The Count of Monte Cristo,1970,Kevin Reynolds
Minority Report,1970,Steven Spielberg
The Boondock Saints,1970,Troy Duffy
Training Day,1970,Antoine Fuqua
Lola rennt,1970,Tom Tykwer
The Last of the Mohicans,1970,Michael Mann
Lat sau san taam,1970,John Woo
Star Trek II: The Wrath of Khan,1970,Nicholas Meyer
First Blood,1970,Ted Kotcheff
