movie_name,budget,revenue
Thunderbolt and Lightfoot,4000000,
The War of the Worlds,,
Outlaw King,120000000,
Dragged Across Concrete,,
The Night Comes for Us,,
Solo: A Star Wars Story,,
Fan,,
X-Men: Apocalypse,,
Slow West,,
Game Night,,
Star Wars: Episode VIII - The Last Jedi,,
Jumanji: Welcome to the Jungle,,
Love and Monsters,,
Non-Stop,,
All Is Lost,,
The Hitman's Bodyguard,,
Pacific Rim,,
Get the Gringo,,
In the Heart of the Sea,,
Ghostbusters,30000000,
Iron Man 2,,
Legend of the Guardians: The Owls of Ga'Hoole,80000000,
The World's End,20000000,
Jackass Forever,,
Free State of Jones,,
Traitor,,
The Amazing Spider-Man,,
Pineapple Express,,
Crank,,
Alan Partridge: Alpha Papa,,
28 Weeks Later,15000000,
Captain America: The First Avenger,,
The Guardian,145000000,
San ging chaat goo si,,
Jurassic World,150000000,
National Treasure,100000000,
Mission: Impossible III,,
The Last Castle,72000000,
Atlantis: The Lost Empire,,
A Knight's Tale,65000000,
The Edge,,
Con Air,,
The Mask,,
Clear and Present Danger,,
Robin Hood: Prince of Thieves,,
Memphis Belle,,
The Monster Squad,,
Top Gun,152000000,
Romancing the Stone,,
Repo Man,,
48 Hrs.,,
Conan the Barbarian,,
Clash of the Titans,,
Smokey and the Bandit,,
Death Wish,,
Westworld,,
Tang shan da xiong,,
Thunderball,9000000,
Ready or Not,,
Boss Level,45000000,
News of the World,,
Spies in Disguise,100000000,
Shin Gojira,,
Captain Marvel,,
The Outpost,,
Død snø 2,,
The Magnificent Seven,,
Spectre,,
Thor: The Dark World,,
Chappie,,
The Maze Runner,,
Tres metros sobre el cielo,,
The Grey,25000000,
What Happened to Monday,,
Aquaman,,
Men in Black 3,,
Unknown,,
Tron,250000000,
The Book of Eli,80000000,
Hanna,,
Green Zone,,
We Own the Night,,
Unstoppable,,
Harsh Times,,
Four Brothers,,
Street Kings,,
The Island,127000000,
Tristan + Isolde,,
The Transporter,,
Dog Soldiers,,
The Fast and the Furious,50000,
The Score,,
Hellboy,85000000,
Ngo si seoi,,
The Mask of Zorro,,
The Long Kiss Goodnight,,
Bad Boys,,
Patriot Games,,
El mariachi,,
Young Guns,,
Innerspace,,
Bloodsport,,
Enemy Mine,,
Superman II,,
Mad Max,,
Logan's Run,,
On Her Majesty's Secret Service,,
You Only Live Twice,9500000,
Extraction,,
Jumanji: The Next Level,,
Midway,,
Bumblebee,,
Kingsman: The Golden Circle,,
Harriet,,
The Equalizer 2,,
Jungle,90000000,
Turbo Kid,,
Black Widow,,
Hardcore Henry,2000000,
The Guest,,
Pete's Dragon,10000000,
The Salvation,,
The Adam Project,,
Atomic Blonde,,
The Finest Hours,,
King Arthur: Legend of the Sword,,
No Escape,,
In Time,,
Safe House,85000000,
Machine Gun Preacher,,
Zombieland: Double Tap,,
Super,175000000,
The Wolverine,,
Antim: The Final Truth,,
Gangster Squad,,
2 Guns,,
Wild Target,,
Escape Plan,50000000,
Brooklyn's Finest,,
Out of the Furnace,,
Pandorum,,
Om Shanti Om,,
The Brothers Bloom,,
Angels & Demons,,
Death Sentence,,
Warcraft,,
Appaloosa,,
Wanted,,
The Brave One,,
The A-Team,,
Underworld: Evolution,,
Blood and Bone,,
Hidalgo,,
The Matrix Revolutions,63000000,
Blade II,,
Armageddon,,
Nothing to Lose,,
Conspiracy Theory,,
Absolute Power,50000000,
Ransom,,
Hung fan kui,,
Wyatt Earp,,
Demolition Man,,
Lethal Weapon 3,,
Hot Shots!,,
Backdraft,,
Teenage Mutant Ninja Turtles,,
Colors,,
